day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,time_continuous,spread,imbalance_1,imbalance_3,depth_b,depth_a,book_slope,vamp,ret_1,ret_10,ret_20,target_ret_10,roll_vol_100,imbalance_1_roll_mean,imbalance_1_roll_std,alpha_imb_z,trade_flow_net,trade_vol_total,trade_count,roll_flow_10
-2,0,ASH_COATED_OSMIUM,,0.0,,0.0,,0.0,10010.0,25.0,,0.0,,0.0,10010.0,0.0,0,,-1.0,-1.0,0.0,25.0,-1.0,,,,,-0.0010489510489510856,,,,,0.0,0.0,0.0,
-2,100,ASH_COATED_OSMIUM,9992.0,15.0,,0.0,,0.0,10008.0,15.0,10011.0,20.0,,0.0,10000.0,0.0,100,16.0,0.0,-0.4,15.0,35.0,-0.4,10000.0,-0.0009990009990009652,,,9.999999999998899e-05,,,,,0.0,0.0,0.0,
-2,200,ASH_COATED_OSMIUM,9992.0,15.0,9989.0,30.0,,0.0,10008.0,15.0,10010.0,30.0,,0.0,10000.0,0.0,200,16.0,0.0,0.0,45.0,45.0,0.0,10000.0,0.0,,,0.0008999999999999009,,,,,0.0,0.0,0.0,
-2,300,ASH_COATED_OSMIUM,9992.0,13.0,9989.0,26.0,,0.0,10008.0,13.0,10010.0,26.0,,0.0,10000.0,0.0,300,16.0,0.0,0.0,39.0,39.0,0.0,10000.0,0.0,,,0.0002500000000000835,,,,,0.0,0.0,0.0,
-2,400,ASH_COATED_OSMIUM,9992.0,15.0,,0.0,,0.0,10008.0,15.0,10010.0,20.0,,0.0,10000.0,0.0,400,16.0,0.0,-0.4,15.0,35.0,-0.4,10000.0,0.0,,,9.999999999998899e-05,,,,,0.0,0.0,0.0,
-2,500,ASH_COATED_OSMIUM,9992.0,13.0,9989.0,30.0,,0.0,10008.0,13.0,10010.0,30.0,,0.0,10000.0,0.0,500,16.0,0.0,0.0,43.0,43.0,0.0,10000.0,0.0,,,0.00019999999999997797,,,,,0.0,0.0,0.0,
-2,600,ASH_COATED_OSMIUM,9989.0,30.0,,0.0,,0.0,10010.0,30.0,,0.0,,0.0,9999.5,0.0,600,21.0,0.0,0.0,30.0,30.0,0.0,9999.5,-4.999999999999449e-05,,,-0.0005500275013751166,,,,,0.0,0.0,0.0,
-2,700,ASH_COATED_OSMIUM,9990.0,27.0,,0.0,,0.0,10011.0,27.0,,0.0,,0.0,10000.5,0.0,700,21.0,0.0,0.0,27.0,27.0,0.0,10000.5,0.00010000500024998082,,,0.00039998000099994435,,,,,-6.0,6.0,1.0,
-2,800,ASH_COATED_OSMIUM,9993.0,15.0,,0.0,,0.0,10011.0,21.0,,0.0,,0.0,10002.0,0.0,800,18.0,-0.16666666666666666,-0.16666666666666666,15.0,21.0,-0.16666666666666666,10000.5,0.00014999250037495138,,,0.0,,,,,0.0,0.0,0.0,
-2,900,ASH_COATED_OSMIUM,9993.0,13.0,9990.0,30.0,,0.0,9998.0,8.0,10009.0,13.0,10011.0,30.0,9995.5,0.0,900,5.0,0.23809523809523808,-0.0851063829787234,43.0,51.0,-0.0851063829787234,9996.095238095239,-0.0006498700259948142,,,0.0006502926316842572,,,,,2.0,2.0,1.0,-4.0
-2,1000,ASH_COATED_OSMIUM,9990.0,22.0,,0.0,,0.0,10009.0,15.0,10011.0,22.0,,0.0,9999.5,0.0,1000,19.0,0.1891891891891892,-0.2542372881355932,22.0,37.0,-0.2542372881355932,10001.297297297297,0.00040018008103648306,-0.0010489510489510856,,0.00010000500024998082,,,,,0.0,0.0,0.0,-4.0
-2,1100,ASH_COATED_OSMIUM,9993.0,10.0,,0.0,,0.0,10009.0,10.0,10011.0,25.0,,0.0,10001.0,0.0,1100,16.0,0.0,-0.5555555555555556,10.0,35.0,-0.5555555555555556,10001.0,0.00015000750037508226,9.999999999998899e-05,,9.999000099991662e-05,,,,,0.0,0.0,0.0,-4.0
-2,1200,ASH_COATED_OSMIUM,,0.0,,0.0,,0.0,10009.0,10.0,10011.0,27.0,,0.0,10009.0,0.0,1200,,-1.0,-1.0,0.0,37.0,-1.0,,0.0007999200079991109,0.0008999999999999009,,-0.000699370566490165,,,,,0.0,0.0,0.0,-4.0
-2,1300,ASH_COATED_OSMIUM,9993.0,10.0,9991.0,23.0,,0.0,10012.0,23.0,,0.0,,0.0,10002.5,0.0,1300,19.0,-0.3939393939393939,0.17857142857142858,33.0,23.0,0.17857142857142858,9998.757575757576,-0.0006494155260265977,0.0002500000000000835,,0.0002999250187452063,,,,,0.0,0.0,0.0,-4.0
-2,1400,ASH_COATED_OSMIUM,9993.0,13.0,9991.0,26.0,,0.0,10009.0,13.0,10012.0,26.0,,0.0,10001.0,0.0,1400,16.0,0.0,0.0,39.0,39.0,0.0,10001.0,-0.00014996250937260314,9.999999999998899e-05,,4.999500049995831e-05,,,,,0.0,0.0,0.0,-4.0
-2,1500,ASH_COATED_OSMIUM,9994.0,12.0,9991.0,25.0,,0.0,10010.0,12.0,10012.0,25.0,,0.0,10002.0,0.0,1500,16.0,0.0,0.0,37.0,37.0,0.0,10002.0,9.999000099991662e-05,0.00019999999999997797,,-4.9990001999566935e-05,,,,,0.0,0.0,0.0,-4.0
-2,1600,ASH_COATED_OSMIUM,9994.0,15.0,9991.0,23.0,,0.0,,0.0,,0.0,,0.0,9994.0,0.0,1600,,1.0,1.0,38.0,0.0,1.0,,-0.0007998400319936261,-0.0005500275013751166,,0.0009005403241946208,,,,,0.0,0.0,0.0,-4.0
-2,1700,ASH_COATED_OSMIUM,9999.0,3.0,9994.0,12.0,9991.0,28.0,10010.0,12.0,10012.0,28.0,,0.0,10004.5,0.0,1700,11.0,-0.6,0.03614457831325301,43.0,40.0,0.03614457831325301,10001.2,0.0010506303782269466,0.00039998000099994435,,-4.997751012048024e-05,,,,,0.0,0.0,0.0,2.0
-2,1800,ASH_COATED_OSMIUM,9994.0,14.0,9991.0,24.0,,0.0,10010.0,14.0,10012.0,24.0,,0.0,10002.0,0.0,1800,16.0,0.0,0.0,38.0,38.0,0.0,10002.0,-0.00024988755060217915,0.0,,9.998000399913387e-05,,,,,0.0,0.0,0.0,2.0
-2,1900,ASH_COATED_OSMIUM,9994.0,11.0,9991.0,25.0,,0.0,10010.0,11.0,10012.0,25.0,,0.0,10002.0,0.0,1900,16.0,0.0,0.0,36.0,36.0,0.0,10002.0,0.0,0.0006502926316842572,,9.998000399913387e-05,,,,,0.0,0.0,0.0,0.0
-2,2000,ASH_COATED_OSMIUM,9991.0,30.0,,0.0,,0.0,10010.0,10.0,10012.0,30.0,,0.0,10000.5,0.0,2000,19.0,0.5,-0.14285714285714285,30.0,40.0,-0.14285714285714285,10005.25,-0.00014997000599881183,0.00010000500024998082,-0.0009490509490509558,0.00014999250037495138,,,,,0.0,0.0,0.0,0.0
-2,2100,ASH_COATED_OSMIUM,9994.0,13.0,9992.0,20.0,,0.0,10010.0,13.0,,0.0,,0.0,10002.0,0.0,2100,16.0,0.0,0.43478260869565216,33.0,13.0,0.43478260869565216,10002.0,0.00014999250037495138,9.999000099991662e-05,0.00019999999999997797,0.00019996000799848979,,,,,0.0,0.0,0.0,0.0
-2,2200,ASH_COATED_OSMIUM,9994.0,14.0,,0.0,,0.0,10010.0,14.0,10013.0,25.0,,0.0,10002.0,0.0,2200,16.0,0.0,-0.4716981132075472,14.0,39.0,-0.4716981132075472,10002.0,0.0,-0.000699370566490165,0.00019999999999997797,0.00029994001199762366,,,,,0.0,0.0,0.0,0.0
-2,2300,ASH_COATED_OSMIUM,10000.0,5.0,9995.0,11.0,9992.0,28.0,10011.0,11.0,10013.0,28.0,,0.0,10005.5,0.0,2300,11.0,-0.375,0.060240963855421686,44.0,39.0,0.060240963855421686,10003.4375,0.0003499300139973016,0.0002999250187452063,0.0005500000000000504,-0.00014991754535009783,,,,,0.0,0.0,0.0,0.0
-2,2400,ASH_COATED_OSMIUM,9992.0,30.0,,0.0,,0.0,10011.0,13.0,10013.0,30.0,,0.0,10001.5,0.0,2400,19.0,0.3953488372093023,-0.1780821917808219,30.0,43.0,-0.1780821917808219,10005.255813953489,-0.00039978012093344617,4.999500049995831e-05,0.0001500000000000945,0.00024996250562425715,,,,,0.0,0.0,0.0,0.0
-2,2500,ASH_COATED_OSMIUM,9992.0,21.0,,0.0,,0.0,10011.0,14.0,,0.0,,0.0,10001.5,0.0,2500,19.0,0.2,0.2,21.0,14.0,0.2,10003.4,0.0,-4.9990001999566935e-05,0.0001500000000000945,9.998500224961404e-05,,,,,8.0,8.0,1.0,8.0
-2,2600,ASH_COATED_OSMIUM,9995.0,15.0,9992.0,21.0,,0.0,10011.0,15.0,,0.0,,0.0,10003.0,0.0,2600,16.0,0.0,0.4117647058823529,36.0,15.0,0.4117647058823529,10003.0,0.00014997750337442106,0.0009005403241946208,0.0003500175008750439,9.997000899719666e-05,,,,,0.0,0.0,0.0,8.0
